customer_id,customer_tenure_years,annualized_premium,retention_probability,adjusted_retention_probability,expected_lifetime_years,risk_premium_multiplier,predicted_annual_premium,customer_lifetime_premium_value,clpv_segment,satisfaction_adjustment,payment_reliability_adjustment,avg_satisfaction_score,satisfaction_resolution_rate,first_name,last_name,risk_category,policy_types_count,total_premium,cross_sell_priority,estimated_additional_premium
CUST000005,1.4127310061601643,10086.845930232557,0.75,0.675,2.5125,1.0,10086.845930232557,25343.2003997093,Low Value,1.0,0.9,3.5,0.5,Joshua,Lewis,Medium,2,14250.0,Low Priority,2850.0
CUST000006,0.7967145790554415,1122.986855670103,0.85,0.8797499999999999,2.819625,0.9,1010.6881701030928,2849.7616316269327,Low Value,1.15,0.9,4.0,1.0,Cassandra,Roman,Low,1,894.7,Low Priority,178.94000000000003
CUST000009,0.6132785763175906,9999.354676339286,0.85,0.8415000000000001,2.7622500000000003,0.9,8999.419208705358,24858.64570924638,Low Value,0.9,1.1,3.3333333333333335,0.6666666666666666,Mary,Martin,Low,1,6132.389999999999,Low Priority,1226.4779999999998
CUST000010,5.259411362080766,0.0,0.85,0.935,2.9025,0.9,0.0,0.0,Low Value,1.0,1.1,3.75,1.0,George,Daniel,Low,0,0.0,Low Priority,0.0
CUST000011,3.9397672826830936,1826.9581636553162,0.75,0.6075,2.41125,1.0,1826.9581636553162,4405.252872113881,Low Value,0.9,0.9,3.0,0.5,Angela,Cohen,Medium,2,7197.79,Low Priority,1439.558
CUST000013,2.078028747433265,1088.5364328063242,0.75,0.5400000000000001,2.3100000000000005,1.0,1088.5364328063242,2514.5191597826097,Low Value,0.8,0.9,2.0,0.5,Douglas,Taylor,Medium,1,2262.01,Low Priority,452.40200000000004
CUST000014,1.0403832991101984,7085.004157894737,0.75,0.675,2.5125,1.0,7085.004157894737,17801.072946710527,Low Value,1.0,0.9,3.5,1.0,Jeffrey,Bright,Medium,2,7371.12,Low Priority,1474.2240000000002
CUST000015,2.5735797399041753,1243.404255319149,0.85,0.765,2.6475,0.9,1119.063829787234,2962.721489361702,Low Value,1.0,0.9,3.5,1.0,Courtney,Conner,Low,1,3200.0,Low Priority,640.0
CUST000019,2.4476386036960984,2641.1578859060405,0.75,0.6075,2.41125,1.0,2641.1578859060405,6368.49195239094,Low Value,0.9,0.9,3.0,1.0,Meagan,Romero,Medium,2,6464.6,Low Priority,1292.92
CUST000021,3.3292265571526354,3081.3433162006577,0.75,0.6075,2.41125,1.0,3081.3433162006577,7429.889071188835,Low Value,0.9,0.9,3.0,0.5,Brian,Humphrey,Medium,2,10258.49,Low Priority,2051.698
