customer_id,first_name,last_name,email,birth_date,gender,marital_status,income,credit_score,employment_status,education,state,zip_code,acquisition_date,risk_category
CUST000001,Danielle,Johnson,john21@example.net,1973-01-20,Male,Single,50834,700,Full-time,Master's,GA,97581,2020-11-26,Medium
CUST000002,Patricia,Miller,fjohnson@example.org,1989-03-20,Female,Married,25135,709,Full-time,Some College,TN,30996,2024-05-03,Low
CUST000003,William,Johnson,jennifermiles@example.com,1984-04-08,Female,Single,40150,729,Full-time,Bachelor's,OH,29394,2024-02-17,Medium
CUST000004,Shane,Ramirez,blakeerik@example.com,2007-07-04,Female,Single,50846,649,Part-time,High School,MA,45098,2023-12-22,Medium
CUST000005,Joshua,Lewis,curtis61@example.com,1998-05-27,Female,Married,44397,629,Full-time,Master's,TX,45583,2024-02-09,Medium
CUST000006,Cassandra,Roman,yherrera@example.org,1970-01-11,Male,Married,49993,798,Full-time,Master's,MD,72858,2024-09-21,Low
CUST000007,Kelly,Fuller,barbara10@example.net,1945-05-24,Male,Widowed,62037,746,Self-employed,Trade School,CA,30372,2025-01-10,High
CUST000008,Kendra,Galloway,michellejames@example.com,1971-10-10,Male,Single,84909,750,Self-employed,Master's,PA,83821,2025-02-06,Low
CUST000009,Mary,Martin,jason41@example.net,1968-04-25,Female,Single,107321,769,Part-time,Master's,MA,83728,2024-11-27,Low
CUST000010,George,Daniel,stevennelson@example.net,1940-07-03,Female,Single,27505,801,Unemployed,Bachelor's,OH,90699,2020-04-05,Low
CUST000011,Angela,Cohen,perezantonio@example.com,1958-05-03,Female,Single,25222,748,Part-time,Some College,IL,53082,2021-07-31,Low
CUST000012,Joseph,Clark,jason76@example.net,2002-09-28,Male,Single,38866,667,Full-time,Bachelor's,CO,60643,2024-02-05,High
CUST000013,Douglas,Taylor,julie69@example.com,2000-09-29,Male,Divorced,25000,609,Part-time,Some College,NC,47948,2023-06-11,High
CUST000014,Jeffrey,Bright,ddavis@example.org,1990-06-12,Male,Single,30375,741,Part-time,Some College,MO,20534,2024-06-24,Low
CUST000015,Courtney,Conner,ycarlson@example.com,1981-06-21,Female,Widowed,34520,784,Full-time,High School,NY,78605,2022-12-12,Low
CUST000016,Wendy,Rice,frazierdanny@example.net,1983-09-20,Female,Single,25000,701,Student,Some College,CA,98920,2022-09-08,High
CUST000017,Joseph,Davidson,cartereric@example.org,1980-01-31,Female,Single,25000,695,Full-time,Bachelor's,OH,95147,2023-10-01,High
CUST000018,Nancy,Baker,williamrodriguez@example.net,1972-06-16,Male,Married,27583,694,Self-employed,Bachelor's,TN,39618,2023-08-14,Medium
CUST000019,Meagan,Romero,ericfarmer@example.net,1960-01-18,Female,Married,116334,850,Unemployed,Some College,CO,70015,2023-01-27,Low
CUST000020,Samantha,George,xsmith@example.com,1976-09-30,Female,Widowed,51820,760,Full-time,Bachelor's,MD,31886,2021-05-24,Medium
CUST000021,Brian,Humphrey,millertodd@example.org,1977-11-18,Female,Single,25000,660,Part-time,Bachelor's,GA,70323,2022-03-11,High
CUST000022,Katie,Anderson,karroyo@example.com,1974-02-19,Female,Widowed,69744,760,Full-time,Bachelor's,WI,69664,2022-01-19,Low
CUST000023,Monique,Henderson,sarahcampos@example.net,1976-05-09,Male,Married,82376,850,Full-time,Master's,NY,26866,2021-03-28,Low
CUST000024,Jennifer,Ross,samuel87@example.org,1979-11-16,Male,Married,30515,710,Full-time,Some College,FL,32994,2020-10-06,High
CUST000025,Jeffrey,Morgan,briannasmith@example.net,1994-09-30,Female,Married,25000,570,Full-time,Some College,MD,83220,2021-07-19,High
CUST000026,Brian,Jones,heathchad@example.org,1979-08-19,Female,Single,30760,766,Part-time,Master's,FL,37001,2023-04-14,Medium
CUST000027,Elizabeth,Lewis,jenniferkhan@example.net,1970-08-27,Male,Single,25000,706,Self-employed,High School,WI,62454,2023-03-12,Medium
CUST000028,John,Kennedy,glee@example.net,1945-10-13,Male,Married,25000,763,Full-time,Some College,PA,56999,2022-04-17,Medium
CUST000029,Michael,Jenkins,nuneztracey@example.org,1957-02-05,Male,Married,34853,735,Full-time,Some College,GA,08445,2022-06-02,Medium
CUST000030,Richard,Morgan,wrightjames@example.com,2007-07-04,Male,Single,59795,673,Full-time,Master's,NC,18874,2022-01-10,Low
CUST000031,Robert,Ramirez,nancyjones@example.net,1986-01-12,Female,Single,70713,672,Full-time,Doctorate,TN,13334,2024-06-12,Medium
CUST000032,Brent,Kidd,novaksara@example.org,1948-06-26,Male,Single,48812,743,Part-time,Bachelor's,MO,22299,2023-08-01,Medium
CUST000033,Richard,Olson,kbarrera@example.com,1970-01-07,Female,Single,44116,850,Full-time,Some College,MI,00783,2024-11-16,Low
CUST000034,Tricia,Baker,smitchell@example.net,1979-08-17,Female,Divorced,176215,818,Full-time,Master's,CO,73346,2024-11-17,Low
CUST000035,Dorothy,Tucker,kennethnovak@example.net,2007-07-04,Female,Married,82668,825,Unemployed,Bachelor's,AZ,96935,2025-02-01,Low
CUST000036,Amy,Adkins,williamsthomas@example.net,1976-04-15,Male,Married,25000,767,Full-time,High School,MD,21136,2021-02-21,Low
CUST000037,Brian,Romero,caseyjones@example.org,1967-01-04,Female,Married,63520,749,Full-time,Master's,FL,53424,2021-04-01,Medium
CUST000038,David,Zamora,bethwilliams@example.org,2007-04-27,Female,Married,29589,693,Unemployed,Master's,FL,55449,2023-10-24,Medium
CUST000039,Diane,Cunningham,sarah35@example.org,1960-12-03,Female,Married,33029,750,Full-time,Some College,MA,35315,2023-06-10,Medium
CUST000040,Randy,Powers,stephen10@example.com,1983-07-05,Female,Married,119932,850,Full-time,Bachelor's,WA,81917,2024-05-07,High
CUST000041,Yolanda,Ferrell,medinawilliam@example.org,1975-08-21,Female,Single,125883,830,Part-time,Master's,MD,46246,2023-04-12,Low
CUST000042,Nicole,Suarez,justin78@example.net,2004-03-24,Male,Single,45334,702,Part-time,Bachelor's,VA,40152,2025-01-01,Medium
CUST000043,Cheryl,Archer,contrerasangela@example.net,2007-07-04,Female,Married,143315,778,Full-time,Doctorate,GA,14078,2023-05-28,Low
CUST000044,Sheila,Taylor,prestonjulia@example.org,1975-08-31,Male,Married,36020,760,Full-time,Master's,IL,36198,2023-10-24,Low
CUST000045,Juan,Clark,james48@example.com,2007-07-04,Female,Married,39198,717,Full-time,High School,CA,33415,2020-02-16,Low
CUST000046,Rebecca,Mathis,waltersmaria@example.org,1962-07-01,Female,Married,162077,850,Full-time,Doctorate,MD,00965,2023-10-03,Low
CUST000047,Matthew,Anderson,evan78@example.net,1992-06-23,Female,Single,25000,666,Full-time,Some College,WA,56558,2024-10-13,Medium
CUST000048,Ann,Rodriguez,amydavenport@example.net,2000-04-22,Other,Married,163328,810,Part-time,Doctorate,MO,72921,2020-08-11,Low
CUST000049,Earl,Anderson,michael05@example.org,1982-03-22,Female,Married,80921,762,Self-employed,Bachelor's,FL,89900,2025-06-23,Low
CUST000050,John,Garcia,vdickson@example.org,1957-10-05,Male,Single,76421,789,Retired,Doctorate,NY,31530,2025-03-16,Medium
CUST000051,Michelle,Cherry,nicolejohnson@example.net,1969-10-30,Male,Married,25000,694,Full-time,Bachelor's,MD,44041,2021-11-04,Medium
CUST000052,Kimberly,Jenkins,josephcobb@example.org,1977-12-15,Male,Married,77570,760,Full-time,Bachelor's,MA,50641,2023-08-19,Medium
CUST000053,Monica,Garrison,jamessellers@example.com,1994-12-24,Female,Married,40940,615,Full-time,High School,CA,40502,2021-03-22,High
CUST000054,Lori,Savage,andrewlee@example.com,1987-10-22,Female,Single,84926,675,Full-time,Bachelor's,AZ,37018,2021-06-29,Medium
CUST000055,Michelle,Rasmussen,michael86@example.net,2007-07-04,Female,Single,68845,821,Part-time,Bachelor's,FL,70783,2025-04-19,Low
CUST000056,Mark,Johnson,gregory40@example.org,1979-11-06,Male,Single,62121,685,Part-time,Trade School,IL,78694,2024-01-29,High
CUST000057,Ryan,Chandler,samuel81@example.com,1982-02-09,Male,Married,25000,714,Full-time,Some College,IN,76075,2023-01-01,Low
CUST000058,James,Williams,zsmith@example.net,1998-11-23,Male,Married,44495,706,Student,Bachelor's,MA,90528,2020-10-29,Low
CUST000059,Jennifer,Harmon,michaeljones@example.net,1955-10-31,Female,Single,25651,807,Retired,High School,MD,43780,2022-01-19,Low
CUST000060,Cindy,Alvarado,cortezkevin@example.com,1957-08-24,Female,Single,25000,722,Full-time,Some College,VA,87911,2025-05-30,Low
CUST000061,Ricky,Powell,angela36@example.net,1991-01-16,Female,Married,25000,761,Full-time,Bachelor's,GA,50196,2020-08-15,Low
CUST000062,Erica,Orr,richard04@example.com,1958-04-24,Male,Widowed,117640,850,Retired,Bachelor's,PA,28050,2024-01-06,Low
CUST000063,Russell,Carpenter,steven73@example.net,1989-10-05,Male,Single,25000,736,Full-time,Bachelor's,WI,62522,2020-04-27,Medium
CUST000064,Laura,Moyer,donnacampbell@example.net,1972-01-04,Male,Married,66054,835,Full-time,Bachelor's,CA,83461,2023-12-04,Low
CUST000065,Christine,Davis,emilywalker@example.org,1977-04-07,Female,Married,128022,813,Full-time,Master's,CA,19814,2024-03-14,Low
CUST000066,Andrew,Sanchez,xcarr@example.org,1991-09-22,Male,Married,25000,622,Full-time,Bachelor's,MO,60193,2024-06-07,High
CUST000067,Robert,Soto,jennifercruz@example.com,1981-07-31,Female,Single,26118,703,Self-employed,Bachelor's,AZ,32480,2025-06-02,Medium
CUST000068,Dylan,Watts,osbornejeffery@example.net,1979-03-17,Female,Married,40315,726,Part-time,Bachelor's,PA,68390,2020-09-26,Medium
CUST000069,Steven,Grant,bryantlaurie@example.net,1972-05-08,Male,Married,73114,822,Full-time,Bachelor's,WI,70117,2020-10-22,Low
CUST000070,Vanessa,Larson,usalazar@example.net,1969-11-19,Female,Divorced,131471,749,Full-time,Bachelor's,WI,56434,2025-06-08,High
CUST000071,Maria,Kelley,juliawells@example.com,2007-07-04,Female,Married,66895,748,Full-time,Some College,OH,99037,2024-07-04,High
CUST000072,John,Walsh,rsims@example.com,1968-01-31,Female,Single,90256,787,Part-time,Master's,IL,10656,2021-05-31,Low
CUST000073,Jennifer,Young,luis81@example.org,2007-07-04,Male,Married,61097,699,Part-time,Bachelor's,TX,20270,2023-03-26,High
CUST000074,Jesse,Benson,calebrussell@example.net,1980-02-05,Female,Married,40732,767,Part-time,Bachelor's,GA,61570,2023-07-01,High
CUST000075,Robert,Clark,xprice@example.net,2005-09-11,Female,Married,32202,658,Self-employed,Bachelor's,NY,91664,2021-11-13,Medium
CUST000076,Andrew,Gilmore,wwoods@example.com,1962-06-06,Female,Divorced,60994,755,Full-time,Bachelor's,WI,99260,2022-09-09,Low
CUST000077,Peter,Snow,vmedina@example.net,2005-11-22,Male,Married,62419,755,Full-time,High School,AZ,79570,2022-07-25,Low
CUST000078,Rachael,Freeman,ryan06@example.com,1981-06-27,Male,Single,65253,761,Full-time,Bachelor's,OH,88171,2022-02-01,Medium
CUST000079,Erin,Powell,marycalhoun@example.net,1964-12-02,Female,Single,25000,712,Full-time,Some College,GA,70509,2022-04-28,Low
CUST000080,Anthony,Long,millerroy@example.com,1941-11-26,Male,Married,29925,757,Retired,High School,TN,24320,2020-02-01,High
CUST000081,Brent,Gray,shawnrogers@example.com,1991-03-13,Female,Married,57450,795,Full-time,Master's,NY,36972,2020-04-23,Low
CUST000082,Karen,Decker,mary70@example.net,1976-02-27,Female,Widowed,57548,685,Full-time,Doctorate,MD,71203,2023-11-04,Low
CUST000083,Brett,Crane,debraharrington@example.net,1984-05-10,Male,Married,72726,716,Full-time,Bachelor's,FL,05777,2020-11-23,Low
CUST000084,Karen,Herring,maryhowell@example.org,1978-05-10,Female,Single,88841,845,Unemployed,Master's,TN,17045,2024-03-03,Low
CUST000085,Thomas,Wilson,stevenscott@example.com,1977-01-15,Female,Single,38081,751,Part-time,Master's,MI,22493,2025-04-04,Medium
CUST000086,Catherine,Stuart,stricklandfrank@example.com,1987-05-20,Male,Single,50067,702,Part-time,High School,CO,14669,2022-06-23,High
CUST000087,Beth,Hickman,tsanders@example.org,1978-01-03,Male,Married,25000,653,Full-time,Trade School,WA,10462,2023-05-17,Medium
CUST000088,Brittany,Rivas,curtisbarton@example.net,2000-11-17,Male,Single,34461,631,Unemployed,Bachelor's,MD,79198,2021-09-01,High
CUST000089,Linda,Hogan,reedross@example.com,1960-04-20,Male,Single,46430,769,Retired,Bachelor's,IL,09539,2021-08-10,Low
CUST000090,William,Peterson,gshort@example.com,1994-02-07,Male,Married,66472,850,Part-time,Bachelor's,TX,47973,2022-09-07,Low
CUST000091,Cynthia,Poole,ryangross@example.net,1972-09-27,Male,Divorced,25000,658,Full-time,High School,OH,35901,2023-08-12,High
CUST000092,Christina,Gillespie,umarshall@example.net,1972-05-22,Female,Single,46573,665,Full-time,Bachelor's,WA,35680,2024-01-30,Medium
CUST000093,Marcus,Sanchez,ramirezshannon@example.com,1974-11-20,Female,Married,25794,663,Full-time,Bachelor's,OH,75192,2020-03-01,Low
CUST000094,Cheryl,Gray,snydermark@example.com,1965-09-19,Female,Divorced,26977,779,Full-time,Trade School,GA,28303,2020-01-12,Medium
CUST000095,Michael,Green,nicole48@example.org,1961-03-27,Male,Widowed,76878,807,Self-employed,Master's,WA,68216,2023-07-15,Low
CUST000096,Stacy,Miller,wfreeman@example.org,1985-02-27,Male,Divorced,46173,629,Full-time,Bachelor's,MD,91020,2024-03-22,Medium
CUST000097,Thomas,Joseph,fmcguire@example.com,1960-02-25,Male,Married,45512,772,Retired,Master's,FL,29546,2021-09-06,Low
CUST000098,Richard,Sanchez,thomas85@example.com,1993-05-05,Male,Married,214572,752,Full-time,Master's,WA,98272,2020-02-08,High
CUST000099,Andrea,Bell,qnelson@example.org,1967-06-28,Male,Single,50203,770,Self-employed,Bachelor's,MO,16315,2024-10-28,Medium
CUST000100,Jennifer,Stewart,jamesrodgers@example.com,1988-02-25,Female,Single,25000,677,Full-time,Bachelor's,WA,95473,2021-01-23,High
