customer_id,customer_tenure_years,annualized_premium,retention_probability,adjusted_retention_probability,expected_lifetime_years,risk_premium_multiplier,predicted_annual_premium,customer_lifetime_premium_value,clpv_segment,satisfaction_adjustment,payment_reliability_adjustment,avg_satisfaction_score,satisfaction_resolution_rate,first_name,last_name,risk_category,total_premium
CUST000004,1.5468856947296372,72258.43537168141,0.65,0.468,2.202,1.2,86710.12244601769,190935.68962613094,High Value,0.8,0.9,2.6,0.8,Shane,Ramirez,High,111775.54
CUST000007,0.4928131416837782,183956.13333333333,0.75,0.5400000000000001,2.3100000000000005,1.0,183956.13333333333,424938.66800000006,High Value,0.8,0.9,2.6666666666666665,0.6666666666666666,Kelly,Fuller,Medium,90656.0
CUST000008,0.4188911704312115,43101.14720588236,0.75,0.675,2.5125,1.0,43101.14720588236,108291.63235477943,High Value,1.0,0.9,3.6666666666666665,1.0,Kendra,Galloway,Medium,18054.690000000002
CUST000012,1.4236824093086926,26937.1875,0.65,0.67275,2.509125,1.2,32324.625,81106.524703125,High Value,1.15,0.9,5.0,1.0,Joseph,Clark,High,38350.0
CUST000017,1.7713894592744694,64356.63789412675,0.75,0.77625,2.6643749999999997,1.0,64356.63789412675,171470.21708916393,High Value,1.15,0.9,4.0,1.0,Joseph,Davidson,Medium,114000.67000000001
CUST000018,1.9028062970568105,46175.367474820145,0.75,0.6075,2.41125,1.0,46175.367474820145,111340.35482366006,High Value,0.9,0.9,3.0,0.75,Nancy,Baker,Medium,87862.78
CUST000028,3.2279260780287475,34077.608142493635,0.75,0.6075,2.41125,1.0,34077.608142493635,82169.63263358777,High Value,0.9,0.9,3.0,0.0,John,Kennedy,Medium,110000.0
CUST000030,3.4934976043805612,27708.620689655174,0.75,0.6075,2.41125,1.0,27708.620689655174,66812.41163793103,High Value,0.9,0.9,3.0,0.5,Richard,Morgan,Medium,96800.0
CUST000031,1.0732375085557837,32595.75790178572,0.75,0.77625,2.6643749999999997,1.0,32595.75790178572,86847.32245957032,High Value,1.15,0.9,4.0,1.0,Robert,Ramirez,Medium,34982.990000000005
CUST000032,1.9383983572895278,52484.18087923728,0.65,0.67275,2.509125,1.2,62981.01705508474,158027.2444183395,High Value,1.15,0.9,4.0,1.0,Brent,Kidd,High,101735.25
CUST000034,0.6406570841889117,33531.16750000001,0.85,0.6885,2.53275,0.9,30178.05075000001,76433.45803706252,High Value,0.9,0.9,3.0,1.0,Tricia,Baker,Low,21481.980000000003
CUST000035,0.432580424366872,92942.16227848102,0.75,0.77625,2.6643749999999997,1.0,92942.16227848102,247632.77362072782,High Value,1.15,0.9,4.0,1.0,Dorothy,Tucker,Medium,40204.96
CUST000040,1.1718001368925393,44880.94713785047,0.85,0.765,2.6475,0.9,40392.85242406542,106940.07679271321,High Value,1.0,0.9,3.5,1.0,Randy,Powers,Low,52591.5
CUST000046,1.7659137577002053,35324.85645348837,0.85,0.8797499999999999,2.819625,0.9,31792.370808139534,89642.56353990042,High Value,1.15,0.9,4.0,1.0,Rebecca,Mathis,Low,62380.65
CUST000049,0.04380561259411362,375570.82359375,0.85,0.765,2.6475,0.9,338013.74123437505,894891.3799180079,High Value,1.0,0.9,3.6,0.6,Earl,Anderson,Low,16452.11
CUST000050,0.31485284052019163,348831.5678478261,0.85,0.8415000000000001,2.7622500000000003,0.9,313948.4110630435,867203.9984588921,High Value,0.9,1.1,3.25,0.75,John,Garcia,Low,109830.61
CUST000055,0.22176591375770022,54111.11111111111,0.85,0.95,2.925,0.9,48700.0,142447.5,High Value,1.15,1.1,4.0,1.0,Michelle,Rasmussen,Low,12000.0
CUST000060,0.10951403148528405,44401.8901875,0.85,0.8415000000000001,2.7622500000000003,0.9,39961.701168750005,110384.20905337972,High Value,0.9,1.1,3.0,1.0,Cindy,Alvarado,Low,4862.63
CUST000066,1.0869267624914443,97141.99120277078,0.65,0.5265000000000001,2.28975,1.2,116570.38944332492,266917.04922785325,High Value,0.9,0.9,3.0,1.0,Andrew,Sanchez,High,105586.23
CUST000067,0.10130047912388775,121423.71,0.85,0.8415000000000001,2.7622500000000003,0.9,109281.339,301862.37865275005,High Value,0.9,1.1,3.0,0.5,Robert,Soto,Low,12300.28
CUST000070,0.08487337440109514,681451.9913709677,0.75,0.675,2.5125,1.0,681451.9913709677,1712148.1283195566,High Value,1.0,0.9,3.6666666666666665,0.6666666666666666,Vanessa,Larson,Medium,57837.130000000005
CUST000079,3.1978097193702943,47250.96026969178,0.75,0.5400000000000001,2.3100000000000005,1.0,47250.96026969178,109149.71822298803,High Value,0.8,0.9,2.5,0.5,Erin,Powell,Medium,151099.58
CUST000084,1.3497604380561259,57905.99412778905,0.75,0.675,2.5125,1.0,57905.99412778905,145488.81024607,High Value,1.0,0.9,3.6666666666666665,1.0,Karen,Herring,Medium,78159.22
CUST000085,0.26283367556468173,43917.698046875,0.85,0.935,2.9025,0.9,39525.928242187496,114724.0067229492,High Value,1.0,1.1,3.6666666666666665,0.6666666666666666,Thomas,Wilson,Low,11543.05
CUST000096,1.297741273100616,42381.329113924054,0.75,0.675,2.5125,1.0,42381.329113924054,106483.0893987342,High Value,1.0,0.9,3.5,1.0,Stacy,Miller,Medium,55000.0
CUST000098,5.415468856947296,26221.731442113247,0.75,0.675,2.5125,1.0,26221.731442113247,65882.10024830954,High Value,1.0,0.9,3.5,1.0,Richard,Sanchez,Medium,142002.97
CUST000099,0.6954140999315537,87211.40397637794,0.85,0.765,2.6475,0.9,78490.26357874015,207802.97282471455,High Value,0.9,1.0,3.0,1.0,Andrea,Bell,Low,60648.03999999999
CUST000100,4.457221081451061,29967.642968366097,0.75,0.5400000000000001,2.3100000000000005,1.0,29967.642968366097,69225.2552569257,High Value,0.8,0.9,2.5,1.0,Jennifer,Stewart,Medium,133572.41
CUST000104,0.2792607802874743,229790.3054411765,0.85,0.6885,2.53275,0.9,206811.27489705884,523801.25649552577,High Value,0.9,0.9,3.0,1.0,Taylor,Alexander,Low,64171.42
CUST000105,0.2272416153319644,164841.19753012047,0.85,0.7480000000000001,2.622,0.9,148357.0777771084,388992.25793157826,High Value,0.8,1.1,2.6666666666666665,0.6666666666666666,Lynn,Morales,Low,37458.78
CUST000115,0.10951403148528405,239555.42174999998,0.85,0.8415000000000001,2.7622500000000003,0.9,215599.879575,595540.7673560438,High Value,0.9,1.1,3.0,1.0,Richard,Nelson,Low,26234.679999999997
CUST000120,1.8699520876112252,59237.21293923865,0.85,0.6885,2.53275,0.9,53313.49164531478,135029.74596467102,High Value,0.9,0.9,3.3333333333333335,0.6666666666666666,Keith,Landry,Low,110770.75
CUST000124,2.316221765913758,29696.331764184393,0.75,0.675,2.5125,1.0,29696.331764184393,74612.03355751329,High Value,1.0,0.9,3.5,1.0,Chelsea,Allen,Medium,68783.29
CUST000126,0.10677618069815195,159900.36250000002,0.75,0.7425000000000002,2.6137500000000005,1.0,159900.36250000002,417939.5724843751,High Value,0.9,1.1,3.0,0.5,Sarah,Carter,Medium,17073.550000000003
CUST000127,2.0342231348391513,36472.591786675635,0.75,0.6075,2.41125,1.0,36472.591786675635,87944.53694562163,High Value,0.9,0.9,3.0,0.0,Andrea,Reyes,Medium,74193.39
CUST000129,0.16153319644079397,116496.42559322035,0.85,0.7480000000000001,2.622,0.9,104846.78303389832,274908.2651148814,High Value,0.8,1.1,2.75,0.5,Yolanda,Burns,Low,18818.04
CUST000132,0.03559206023271732,844511.6636538461,0.85,0.7480000000000001,2.622,0.9,760060.4972884615,1992878.6238903461,High Value,0.8,1.1,1.6666666666666667,0.6666666666666666,Tina,Simpson,Low,30057.91
CUST000135,0.3860369609856263,59541.112180851065,0.75,0.6075,2.41125,1.0,59541.112180851065,143568.50674607712,High Value,0.9,0.9,3.0,1.0,Michele,James,Medium,22985.07
CUST000137,0.4188911704312115,121983.83161764705,0.85,0.6120000000000001,2.418,0.9,109785.44845588235,265461.21436632355,High Value,0.8,0.9,2.8,0.6,Jane,Garcia,Low,51097.95
CUST000142,3.2881587953456535,31370.1881265612,0.75,0.5400000000000001,2.3100000000000005,1.0,31370.1881265612,72465.13457235639,High Value,0.8,0.9,2.5,1.0,Charles,Landry,Medium,103150.15999999999
CUST000143,0.49007529089664614,123840.50191340782,0.75,0.6600000000000001,2.49,1.0,123840.50191340782,308362.8497643855,High Value,0.8,1.1,1.0,0.0,James,Cruz,Medium,60691.17
CUST000146,1.1225188227241616,31723.833292682924,0.65,0.67275,2.509125,1.2,38068.599951219505,95518.87585260364,High Value,1.15,0.9,4.0,1.0,Catherine,Gomez,High,35610.6
CUST000151,1.2019164955509924,44847.79949316628,0.65,0.67275,2.509125,1.2,53817.35939179954,135034.48188394902,High Value,1.15,0.9,4.5,1.0,Tammy,Dalton,High,53903.31
CUST000152,0.6899383983572895,44080.37017857143,0.85,0.935,2.9025,0.9,39672.33316071429,115148.94699897322,High Value,1.0,1.1,3.5,1.0,Christopher,Foster,Low,30412.74
CUST000159,2.535249828884326,47489.666946544276,0.75,0.77625,2.6643749999999997,1.0,47489.666946544276,126530.2813706989,High Value,1.15,0.9,4.0,1.0,Melissa,Garcia,Medium,120398.17
CUST000168,0.6269678302532512,71653.81991266375,0.75,0.675,2.5125,1.0,71653.81991266375,180030.22253056767,High Value,1.0,0.9,3.5,1.0,Ronald,Rodriguez,Medium,44924.64
CUST000172,1.374401095140315,42659.08271414342,0.65,0.5850000000000001,2.3775000000000004,1.2,51190.8992569721,121706.3629834512,High Value,1.0,0.9,3.6666666666666665,0.6666666666666666,Jessica,Edwards,High,58630.689999999995
CUST000174,0.22176591375770022,65185.98712962962,0.75,0.6075,2.41125,1.0,65185.98712962962,157179.71146631942,High Value,0.9,0.9,3.0,1.0,Angela,Willis,Medium,14456.029999999999
CUST000180,0.34770704996577684,169891.98236220473,0.85,0.95,2.925,0.9,152902.78412598427,447240.64356850396,High Value,1.15,1.1,4.0,1.0,Christopher,Moreno,Low,59072.64
CUST000191,0.7227926078028748,95224.5350284091,0.75,0.6075,2.41125,1.0,95224.5350284091,229610.16008725142,High Value,0.9,0.9,3.3333333333333335,0.3333333333333333,Richard,Miller,Medium,68827.59000000001
CUST000193,1.1279945242984257,37537.274417475724,0.75,0.77625,2.6643749999999997,1.0,37537.274417475724,100013.37552606188,High Value,1.15,0.9,5.0,1.0,Lisa,Young,Medium,42341.84
CUST000194,0.7802874743326489,25494.642236842108,0.75,0.675,2.5125,1.0,25494.642236842108,64055.2886200658,High Value,1.0,0.9,3.5,0.5,Charles,Bean,Medium,19893.15
CUST000199,1.5249828884325805,55792.252257630156,0.75,0.6075,2.41125,1.0,55792.252257630156,134529.0682562107,High Value,0.9,0.9,3.0,1.0,Marc,Alvarez,Medium,85082.23
CUST000203,1.2594113620807665,29737.59895108696,0.75,0.6075,2.41125,1.0,29737.59895108696,71704.78547080842,High Value,0.9,0.9,3.0,0.5,Justin,Cummings,Medium,37451.87
CUST000205,0.7255304585900069,76408.6598207547,0.75,0.675,2.5125,1.0,76408.6598207547,191976.7577996462,High Value,1.0,0.9,3.5,1.0,Angelica,Schneider,Medium,55436.81
CUST000211,0.7665982203969883,29201.046133928576,0.85,0.765,2.6475,0.9,26280.941520535718,69578.79267561832,High Value,1.0,0.9,3.5,0.5,Jesus,Allen,Low,22385.47
CUST000220,1.215605749486653,33251.32347972973,0.75,0.6075,2.41125,1.0,33251.32347972973,80177.2537404983,High Value,0.9,0.9,3.3333333333333335,0.6666666666666666,Jonathan,Conley,Medium,40420.5
CUST000227,0.9828884325804244,30899.844777158774,0.75,0.675,2.5125,1.0,30899.844777158774,77635.86000261143,High Value,1.0,0.9,3.5,1.0,Gregory,Maxwell,Medium,30371.1
CUST000242,3.597535934291581,26622.816769406392,0.75,0.675,2.5125,1.0,26622.816769406392,66889.82713313357,High Value,1.0,0.9,3.5,1.0,Melissa,Hayes,Medium,95776.54
CUST000243,0.05475701574264202,693242.3085,0.85,0.8415000000000001,2.7622500000000003,0.9,623918.0776500001,1723417.709988713,High Value,0.9,1.1,3.0,0.6666666666666666,Elizabeth,Mckinney,Low,37959.88
CUST000247,2.751540041067762,29672.9536119403,0.65,0.5265000000000001,2.28975,1.2,35607.544334328355,81532.37463952835,High Value,0.9,0.9,3.0,0.5,Teresa,Day,High,81646.32
CUST000253,0.917180013689254,142940.18408955223,0.65,0.5265000000000001,2.28975,1.2,171528.22090746267,392756.7438228627,High Value,0.9,0.9,3.0,1.0,Brandon,May,High,131101.88
CUST000261,4.446269678302532,24735.663366687193,0.65,0.5265000000000001,2.28975,1.2,29682.79604002463,67966.1822326464,High Value,0.9,0.9,3.0,1.0,Jason,Gomez,High,109981.43000000001
CUST000274,0.243668720054757,370751.4857865169,0.75,0.675,2.5125,1.0,370751.4857865169,931513.1080386238,High Value,1.0,0.9,3.5,0.5,Hannah,Jenkins,Medium,90340.54000000001
CUST000275,1.7138945927446954,38275.39936102236,0.85,0.935,2.9025,0.9,34447.85942492013,99984.91198083066,High Value,1.0,1.1,3.5,0.5,Janice,Stone,Low,65600.0
CUST000276,3.9315537303216974,25016.018283426183,0.65,0.67275,2.509125,1.2,30019.22194011142,75321.98025048207,High Value,1.15,0.9,4.666666666666667,0.3333333333333333,Sue,Stevens,High,98351.81999999999
